IdUnidade,Sigla,Descricao,SinProtocolo,SinArquivamento,SinOuvidoria
110010527,11BPM/3CIA/GPM/AnisiodeAbreu,GPM de Anisio de Abreu PI,N,N,N
110004367,ADAPI-PI/ASDAPI-SIND,Sindicato dos Servidores da Agência de Defesa Agropecuária do Estado do Piauí - ADAPI-PI,N,N,N
110002059,ADAPI-PI/DG,Diretoria Geral - ADAPI-PI,S,S,N
110010967,ADAPI-PI/DG/ATENPGE,Atendimento à Requisições e Diligências da Procuradoria de Geral Estado (PGE) - ADAPI-PI,N,N,N
110002062,ADAPI-PI/DG/DAF,Diretoria Administrativa e Financeira - ADAPI-PI,N,N,N
110004369,ADAPI-PI/DG/DAF/ADM,Coordenação Administrativa - ADAPI-PI,N,N,N
110002067,ADAPI-PI/DG/DAF/ALMOX,Setor de Almoxarifado - ADAPI-PI,N,N,N
110002068,ADAPI-PI/DG/DAF/CF,Coordenação Financeira - ADAPI-PI,N,N,N
110006091,ADAPI-PI/DG/DAF/CF/ARQ,Arquivo - ADAPI-PI,N,N,N
110006092,ADAPI-PI/DG/DAF/CF/CONT,Contábil - ADAPI-PI,N,N,N
110002064,ADAPI-PI/DG/DAF/CGP,Coordenação de Gestão de Pessoas - ADAPI-PI,N,N,N
110006309,ADAPI-PI/DG/DAF/CONTR,Contratos - ADAPI-PI,N,N,N
110006308,ADAPI-PI/DG/DAF/LIC,Setor de Licitações - ADAPI-PI,N,N,N
110004918,ADAPI-PI/DG/DAF/NCI,Núcleo de Controle Interno - ADAPI-PI,N,N,N
110004173,ADAPI-PI/DG/DAF/PATR,Patrimônio - ADAPI-PI,N,N,N
110002063,ADAPI-PI/DG/DAF/PLAN,Assessoria de Planejamento e Controle - ADAPI-PI,N,N,N
110002065,ADAPI-PI/DG/DAF/PROT,Setor de Protocolo - ADAPI-PI,S,S,N
110004174,ADAPI-PI/DG/DAF/SERV,Serviços Gerais - ADAPI-PI,N,N,N
110002066,ADAPI-PI/DG/DAF/TRANSP,Setor de Transporte - ADAPI-PI,N,N,N
110002070,ADAPI-PI/DG/DTO,Diretoria Técnico-Operacional - ADAPI-PI,N,N,N
110002082,ADAPI-PI/DG/DTO/GCLAV,Gerência de Classificação Vegetal - ADAPI-PI,N,N,N
110009238,ADAPI-PI/DG/DTO/GCLAV/CCQSM,Coordenação de Controle de Qualidade de Sementes e Mudas - ADAPI-PI,N,N,N
110009237,ADAPI-PI/DG/DTO/GCLAV/CCV,Coordenação de Classificação Vegetal - ADAPI-PI,N,N,N
110009236,ADAPI-PI/DG/DTO/GCLAV/CIPOV,Coordenação de Inspeção de Produtos de Origem Vegetal - ADAPI-PI,N,N,N
110009235,ADAPI-PI/DG/DTO/GCLAV/CPAOV,Coordenação de Produtos Artesanais de Origem Vegetal - ADAPI-PI,N,N,N
110004184,ADAPI-PI/DG/DTO/GCLAV/GTAB,Posto de Vigilância Agropecuária Tabuleta - GCLAV - ADAPI-PI,N,N,N
110002079,ADAPI-PI/DG/DTO/GDV,Gerência de Defesa Vegetal - ADAPI-PI,N,N,N
110002081,ADAPI-PI/DG/DTO/GDV/CCA,Coordenação de Controle de Agrotóxicos - ADAPI-PI,N,N,N
110002080,ADAPI-PI/DG/DTO/GDV/CDV,Coordenação de Defesa Vegetal - ADAPI-PI,N,N,N
110002071,ADAPI-PI/DG/DTO/GEDA,Gerência de Defesa Animal - ADAPI-PI,N,N,N
110002073,ADAPI-PI/DG/DTO/GEDA/CCT,Coordenação de Controle de Trânsito - ADAPI-PI,N,N,N
110002072,ADAPI-PI/DG/DTO/GEDA/CDA,Coordenação de Defesa Animal - ADAPI-PI,N,N,N
110005661,ADAPI-PI/DG/DTO/GEDA/CE,Coordenação de Eventos - ADAPI-PI,N,N,N
110002078,ADAPI-PI/DG/DTO/GEDA/CES,Coordenação de Educação Sanitária - ADAPI-PI,N,N,N
110002074,ADAPI-PI/DG/DTO/GEDA/LAB,Laboratório Animal - ADAPI-PI,N,N,N
110005663,ADAPI-PI/DG/DTO/GEDA/PECEBT,Programa Estadual de Controle e Erradicação da Brucelose e Tuberculose Animal - ADAPI-PI,N,N,N
110004177,ADAPI-PI/DG/DTO/GEDA/PECRH,Programa Estadual de Combate à Raiva dos Herbívoros - ADAPI-PI,N,N,N
110005660,ADAPI-PI/DG/DTO/GEDA/PEEFA,Programa Estadual de Erradicação da Febre Aftosa - ADAPI-PI,N,N,N
110004175,ADAPI-PI/DG/DTO/GEDA/PESA,Programa Estadual de Sanidade Avícola - ADAPI-PI,N,N,N
110005664,ADAPI-PI/DG/DTO/GEDA/PESAA,Programa Estadual de Sanidade dos Animais Aquáticos - ADAPI-PI,N,N,N
110005662,ADAPI-PI/DG/DTO/GEDA/PESAP,Programa Estadual de Sanidade Apícola - ADAPI-PI,N,N,N
110004178,ADAPI-PI/DG/DTO/GEDA/PESCO,Programa Estadual de Sanidade Caprina e Ovina - ADAPI-PI,N,N,N
110004179,ADAPI-PI/DG/DTO/GEDA/PESE,Programa Estadual de Sanidade dos Eqüídeos - ADAPI-PI,N,N,N
110004176,ADAPI-PI/DG/DTO/GEDA/PESS,Programa Estadual de Sanidade dos Suínos - ADAPI-PI,N,N,N
110002077,ADAPI-PI/DG/DTO/GEDA/PEVE,Coordenação do Programa Estadual de Vigilância Epidemiológica - ADAPI-PI,N,N,N
110004202,ADAPI-PI/DG/DTO/GEDA/USAVALT,Unidade de Sanidade Animal e Vegetal de Altos - ADAPI-PI,N,N,N
110004194,ADAPI-PI/DG/DTO/GEDA/USAVAMA,Unidade de Sanidade Animal e Vegetal de Amarante - ADAPI-PI,N,N,N
110004217,ADAPI-PI/DG/DTO/GEDA/USAVBAR,Unidade de Sanidade Animal e Vegetal de Barras - ADAPI-PI,N,N,N
110004208,ADAPI-PI/DG/DTO/GEDA/USAVBERT,Unidade de Sanidade Animal e Vegetal de Bertolínia - ADAPI-PI,N,N,N
